Max NOISE,Max WEMP,Max DOC,Max ROUGH,Max WFUEL,Max PURCH,Min RANGE,Min LDMAX,Min VCMAX,PFPF,Algorithm
73.6282476769,1888.9070983389,59.9864806814,1.9495863069,449.9870137299,42607.8327158998,2009.1548084139,15.9010473321,201.3927864116,0.88469562,Borg
73.4272155743,1905.3744765195,65.9651125156,1.9183379734,448.4706455484,42861.1613888498,2003.9192182216,15.7593320976,201.0192322161,0.5996210925,Borg
73.6113586157,1893.7437272647,59.9474058664,1.9974568689,449.3975960939,42356.0750888856,2407.5328742969,15.3183458573,195.3439845203,0.5737844152,Borg
73.5441960759,1885.7391934091,59.9995866606,1.9794315041,449.9741107261,42230.1908820755,2416.9401532423,15.3673146362,196.512978916,0.8506488495,Borg
73.3058269075,1893.1909698059,65.072833464,1.949945288,449.984497633,42319.9643672347,2416.5473380097,15.3006328217,196.4217273656,0.599968977,Borg
73.3356621564,1976.0952730673,65.8788170926,1.9190263447,389.6838750752,43872.2736889235,2011.1785096075,15.0312870242,192.6194840884,1.1500840297,Borg
73.3007012421,1883.3671278766,62.9742328865,1.8584663323,482.6133513787,41997.3808371721,2058.1053083697,14.5768222484,194.3763107071,1.3923526779,Borg
73.3090276337,1964.3071337032,65.9049575999,1.9981678085,413.1288655038,43572.6881948223,2315.7748539594,15.6250150658,192.6983782609,0.2912089457,Borg
73.3012483419,1964.8565491113,64.822072191,1.9985204357,416.1371429964,43325.6488673201,2566.0222961887,15.1861962628,188.8604057202,0.2979713825,Borg
73.3173008315,1962.4127483056,64.8202574809,1.9486668012,417.5680822299,43382.7880746725,2400.2316130716,15.0140918888,190.5353992241,0.2863139035,Borg
73.3216848516,1956.4096341238,65.1131291092,1.9581352512,418.0149890141,43416.6544996244,2297.6021033136,15.3312839218,192.8638608186,0.2958554551,Borg
73.3438943919,1954.3539673027,65.4607389856,1.9172120144,419.9677629823,43396.2015831804,2206.4538086992,15.0670351928,193.2521236017,0.2988297033,Borg
73.3153292075,1902.0050266459,65.6623240862,1.9975658861,447.557585051,42894.7659385808,2014.4454827101,16.5183976,202.0194494453,0.5996312811,Borg
73.2821460688,1977.166993382,71.7150061932,1.9487719803,417.0031715625,43941.674479621,2120.68384637,15.6090728247,193.5880554584,0.2978185098,Borg
73.3341757003,1945.8177603736,65.2006537542,1.9790907691,389.5110447541,43431.6926694081,2015.3346921218,15.6506064011,195.4961043012,0.898653036,Borg
73.2999265969,2020.5201704903,65.361970288,1.9777061996,383.7904294489,44594.1063673757,2029.8633557887,15.3013077211,190.1557907234,0.2542342316,Borg
73.3464790438,1896.7140590721,65.843425111,1.9190765918,448.1321010634,42634.005769121,2072.1941108183,15.609028597,199.7699833834,0.5933449236,Borg
73.27375479,1972.0486623306,79.6190428695,1.9921938892,389.7730040544,43993.3334238539,2007.8288490404,16.2199158767,194.8592326191,1.4302539533,Borg
73.3358814553,1958.1683460533,78.9092617611,1.997403333,439.9669253203,43700.5975645287,2134.1872564598,16.237788072,195.8598070831,0.2440471228,Borg
73.5676211419,1918.451654194,59.9152783092,1.978363827,419.8704410075,43023.0980543386,2064.9158411971,15.9061820936,198.716140051,0.8753316734,Borg
73.3304536602,1926.8710049059,76.859873535,1.9772037406,419.3893627224,43142.1174233691,2111.9333130112,16.2026517463,197.7590249007,0.5974394585,Borg
73.3101755939,1926.0613395149,63.5323703307,1.8582484001,419.6009183831,42981.475311259,2109.708719558,14.7231945446,195.0915829422,0.5963637215,Borg
73.3376289182,1890.584728406,65.5559271316,1.9797730686,449.0785109878,42560.376954276,2107.4559952968,16.2071343002,200.933645023,0.7919293249,Borg
73.2909629238,1891.1054203293,70.6948463825,1.9482560608,448.5673832712,42622.622478793,2018.9240528681,16.2077457657,201.7938600102,0.7589810941,Borg
73.3292970107,1902.3379873294,71.7486311779,1.9799886613,446.8650143416,42915.4970703723,2004.8718398174,16.5235668255,201.9650159065,0.590202108,Borg
73.4976765896,1885.2793256214,59.9465955437,1.8851284694,449.6435989361,42340.5897612518,2147.0000328251,15.0243684825,198.8827698643,0.7566771252,Borg
73.3204423685,1943.6987520696,77.8886198298,1.9796387602,389.9625757318,43296.2086084967,2274.7289173963,15.6007851314,192.7612589696,1.4543163076,Borg
73.2780159962,1948.6351943323,69.6128083905,1.9988024667,389.2136769896,43312.3112393386,2281.7524046319,15.6211572032,193.2394845947,1.2313469143,Borg
73.2888005621,1881.7625861555,71.4285798153,1.9181720909,479.2598988685,41950.1324874124,2261.4561098241,15.0139905099,193.9085346401,1.4912386209,Borg
73.9333194419,1916.5496724707,59.6941211128,1.9736826335,419.9051173569,42986.9894918497,2101.6503820161,15.6246587022,198.0049081774,0.828349645,Borg
73.3314409059,1918.2949193879,65.3391535695,1.977769818,419.7822630944,43050.8369973236,2029.9565851869,16.2020506732,199.0076647744,0.876419589,Borg
73.371481601,1916.640907751,64.0596595001,1.8878656965,419.8949862711,42733.8057131756,2256.064009533,14.9030698842,194.7219713251,0.8987797744,Borg
73.3100858866,1939.2281179829,64.0960601058,1.8586146534,447.8370037637,43304.2691720995,2029.2774458788,15.0244321864,196.2601048863,0.2907269206,Borg
73.2984311605,1917.5043075393,79.7214077913,1.998288576,446.2683929928,43157.5249590349,2004.4105665429,16.8569269972,201.4256674088,0.5609541469,Borg
73.2643159501,1949.4040555777,64.9112889069,1.977900822,419.8949292285,43002.6349559923,2411.4179935929,14.8284180707,188.398168324,0.2851029682,Borg
73.3124445206,1885.408096668,71.9978195029,1.8591014906,449.9102255194,42412.146028306,2057.0030563248,15.3092935933,199.647446652,0.8437336602,Borg
73.3178081326,1886.9659083975,78.9021736342,1.9784047104,461.6403937252,42530.747743663,2107.9299161947,16.5385211674,201.2246628588,0.8944167252,Borg
73.3025229976,1888.7951741968,65.6727158266,1.7999868347,446.1537056821,42431.8033043852,2030.0011457552,14.7529787216,198.8057677187,0.8975948319,Borg
73.3349479401,1919.4408369686,77.2742769983,1.9193627229,418.0924449713,43068.1506774669,2019.252658704,15.9017164551,198.1673912655,0.78763336,Borg
73.3263650678,1881.2469515438,76.9526271588,1.9990522877,468.5547587854,41941.0538995212,2484.4734820886,15.6275492672,193.7301637574,1.1756000121,Borg
73.3499503809,1885.685738184,71.4673031181,1.8292448023,449.3710083304,42328.9424286664,2058.1228365576,15.0080091221,198.7226266544,0.7667147683,Borg
73.336980297,1958.1830982178,65.5373485993,1.9133332158,419.8575032522,43632.9482222261,2041.7865525716,15.3006011535,195.1785994482,0.2996846872,Borg
73.2829167244,1937.598353778,75.0768804398,1.9486834241,445.1338016587,43167.0200791761,2254.8269793059,15.6081799169,194.4764253738,0.2925851087,Borg
73.3010861563,1884.4058672048,79.5620513236,1.9484111048,462.3935228762,42318.5567363106,2258.0729000166,15.90376662,198.7010196675,0.8540748727,Borg
73.3256889836,1886.6999336083,77.6729596394,1.9995871437,449.9292367583,42342.8305140279,2291.3475815509,16.2070821453,198.0513240836,0.8686223559,Borg
73.2910365604,1927.4673837636,65.2601863387,1.9390276527,447.2426402562,43153.7860692534,2049.2910346792,15.6021871464,198.0985789739,0.2940508435,Borg
73.3288851849,1934.9621525764,65.3320093773,1.8594411109,419.9735474736,43221.1048012919,2006.4483523991,15.0188261715,196.499020358,0.5991752486,Borg
73.315639209,1915.3224904962,74.0551516013,1.9456416568,419.9390174961,42954.633866649,2109.8068830207,15.9164290444,198.0683944249,0.8234570347,Borg
73.347940516,1919.9885420924,65.9634673752,1.8584788548,419.6328840874,42928.3983444471,2052.4586230773,14.7434215024,196.495902571,0.5983595241,Borg
73.2931279592,1886.5458840694,69.9737892353,1.8592583148,457.6456273875,42528.6291568076,2005.4302366361,15.3085615681,201.0318004557,0.8897070748,Borg
73.2845543854,1881.8447178165,65.7221723044,1.9496833699,466.4256658236,41905.8961055893,2297.5265785291,15.0003512108,193.2054484411,0.8783383798,Borg
73.3084563344,1920.5505730124,71.4744200322,1.9499264706,419.3634075238,43028.7633074507,2101.1565008512,15.901912735,198.0205278244,1.0815976562,Borg
73.3497307887,1964.7994773356,74.1355691854,1.9157251697,418.7259660378,43762.1435873458,2029.1973333178,15.6054001154,195.14822582,0.2990353782,Borg
73.9284929135,1955.7463624932,59.8983211965,1.9900614255,427.0843669667,43753.2606635018,2019.0378635987,15.4145564026,196.3237749637,0.2826897694,Borg
73.3163093179,1919.8693752889,71.0687313026,1.9497608761,419.9772168787,42822.0489657031,2260.5891242856,15.3010608829,195.3003776276,0.5997109555,Borg
73.5404069483,1894.2881054904,59.9674517715,1.9494925167,448.708580445,42470.1069010486,2250.378810664,15.3078450365,198.0560488521,0.5986420397,Borg
73.3231913096,1943.7476617212,65.8637802053,1.9491349912,389.9390560495,43337.965017104,2017.9642835514,15.3002706823,195.167363518,0.8998733959,Borg
73.3286514475,1930.5483538667,65.8688371515,1.8850266799,419.5945501373,43186.5266532002,2017.9575620248,15.3035899352,197.3898788135,0.5822015013,Borg
73.2988278885,1948.1558039223,65.6458456795,1.9779929385,419.9978351417,43229.4328181968,2337.8372662184,15.0582472076,191.7406418332,0.2999728277,Borg
73.3324838068,1941.0612573221,79.8138415618,1.9480741601,419.9352245094,43461.9458894573,2017.1151601649,16.2170232075,198.0014543306,0.5633399295,Borg
73.3404542741,1931.2726043365,69.1816007741,1.9979093038,419.4331809763,43267.7727427819,2107.6642043012,16.2225947451,197.6556433817,0.5907101371,Borg
73.3426435053,1945.6856445868,71.259413749,1.9781588943,389.6686330919,43364.9917000755,2121.1656187584,15.7062265242,195.0805857875,1.1877407268,Borg
73.4620505267,1915.7031174864,59.9270157256,1.9482021231,445.1580568516,43096.0761090045,2003.3659327584,15.9181094201,200.5676007067,0.5788361456,Borg
73.4887141039,1888.7130022324,59.9543626253,1.8897186792,449.0813007952,42609.8935275563,2005.3838920437,15.3776288468,200.6314066706,1.0635098459,Borg
73.3195885523,1951.4077110767,76.9750042331,1.9189916313,389.6032799989,43414.3965169272,2003.497623792,15.3062389076,194.2249866023,1.4955510081,Borg
73.3536243341,1949.7313580652,65.8021405026,1.9199927214,389.8271592132,43384.6329008052,2030.8498465928,14.8221377419,193.666521888,0.8942365501,Borg
73.296504633,1916.2720228304,65.8433223617,1.9982029317,419.9379321648,42839.0380864541,2258.2873804591,15.9121522279,196.5393754684,0.890029206,Borg
73.3250350258,1928.782926736,65.5844100445,1.9447455838,419.0938702762,43213.7147491038,2014.3826180403,15.900190862,198.6984484391,0.5966469435,Borg
73.3122104327,1916.8930551404,65.6791824686,1.9481517835,419.9994089654,42971.9910520886,2105.758009969,15.6650043924,198.0059367648,0.8461649759,Borg
73.2777441174,1884.54523855,65.6906941538,1.9499513517,449.9506581368,42294.7616223157,2258.7554612765,15.6052367964,198.4328215145,0.8984147841,Borg
73.291533942,1885.859643532,65.4919477888,1.9990481365,449.5275070459,42292.7960229995,2290.0262725147,15.9035301489,198.1198612417,0.896298855,Borg
73.5664697852,1894.9686420193,59.8443669723,1.8884279205,449.9839875175,42524.9116869034,2143.7398446336,15.0036433671,198.7098276357,0.5998876795,Borg
73.3032876831,1897.5822345984,79.3309708915,1.7994838736,444.0229812291,42539.1171506689,2030.026363805,15.0303197306,198.002265142,0.8814928611,Borg
73.3587272525,1956.7309197011,64.7807503854,1.9792383777,389.7328502865,43622.9686476255,2007.6196193785,15.3320052167,195.1347983007,0.5835766203,Borg
73.3247328323,1958.497442468,64.8907440991,1.9886226024,389.3223729479,43644.070966232,2001.6230453673,15.3275073028,195.0204988527,0.5615397419,Borg
73.3379276037,1952.6360899422,76.8131855106,1.9915543427,389.4203189913,43416.3410646435,2254.3282291525,15.6356041016,193.3242903836,0.8507746998,Borg
73.3135269441,1895.4005926023,65.9075514452,1.8891184623,449.2831525718,42565.8377990517,2108.6984817279,15.3030456543,199.1140887395,0.5997814696,Borg
73.2737718962,1917.8266999152,64.6224694761,1.9788759369,449.9815981111,42817.5771472263,2266.8807746098,15.3671657105,195.6829901571,0.29976675,Borg
73.2898052431,1945.2912365598,64.8493736233,1.9796813432,389.2821395948,43229.1025411565,2257.7420421594,15.3033260768,193.2064795845,1.1572746148,Borg
73.3425619128,1945.4799121524,65.2573562485,1.8297664983,419.4874290137,43401.6609475691,2013.6731750687,14.5852718027,195.0062099736,0.5752039708,Borg
73.327112311,1998.9391975904,65.7506214361,1.9999912098,387.9138630552,44074.9241083504,2271.3829376914,15.1312355946,189.1548107243,0.2917731417,Borg
73.3132977411,1945.6114513889,64.3319419537,1.8887233069,439.344999317,43137.8674563359,2255.5155134943,14.7780634385,192.2504577689,0.2994226975,Borg
73.3028614959,1918.6838802988,65.6305548331,1.8885576711,418.552491842,42977.6024862564,2013.5389273935,15.307111163,198.0203472445,0.8277152132,Borg
73.2892367632,1884.170695639,64.573156649,1.9185597322,449.9785560559,42236.4209763394,2266.6195949771,15.3002303819,198.0001833946,0.8985144732,Borg
73.3087745396,1913.6600588587,65.9961697039,1.9458204792,419.9965150673,42672.1151824852,2318.8978485562,15.3343893519,195.0434272202,0.834179379,Borg
73.2743636359,1881.0195803318,76.5419891472,1.9499755568,469.5947360162,41949.6819787845,2384.6742740056,15.3006831095,193.6929763909,1.4554354382,Borg
73.2950381437,1897.0456298824,65.7389361797,1.8898271944,449.8671668542,42407.4369334403,2257.6373986668,15.0175738701,196.4996732835,0.5996106446,Borg
73.305706875,1884.0641708585,76.8034415548,1.9998122817,462.253552155,42277.1656496763,2410.4287298448,15.9153993059,198.0576839115,1.0248474484,Borg
73.3288804187,1952.8365857087,66.6819149988,1.9726272723,389.0654931002,43516.1085777658,2006.6864434265,15.3146058603,195.1916385634,0.5945891376,Borg
73.3232473133,1953.4741010523,69.6007343113,1.9957532784,389.1355955488,43559.2943652484,2037.0367568477,15.6805268333,195.2503903533,0.5976180858,Borg
73.6400839932,1895.6505369424,59.7835996012,1.9778857154,449.0165139323,42777.9251376631,2030.4885860661,15.9845306082,201.0135998386,0.5850350792,Borg
73.3683687607,1919.8179328515,71.5904140358,1.8861648633,419.9189594904,42992.3997861249,2023.7204053509,15.0205148648,197.0964786735,0.5910092873,Borg
73.7316961834,1948.6046288399,59.9264183286,1.8895187231,418.9535820718,43509.2822340851,2034.6569800268,14.9185516662,196.1140584921,0.4600159302,Borg
73.349651501,1983.6505250568,70.8777288566,1.9792901801,386.8205417331,44056.6767625928,2015.8100498966,15.610753046,193.668077902,0.5846816066,Borg
73.3829514549,1973.1321720487,71.511153318,1.9759430431,387.1709428358,43884.6259784691,2007.598090707,15.6387647301,194.3942116992,0.5973797653,Borg
73.3513442255,1983.5675810444,79.1339871024,1.8862959333,418.7744272713,44029.6469856832,2022.6293143234,15.3238648606,193.2864095339,0.2866352443,Borg
73.3826638842,1948.5696554299,77.8066009152,1.9165021966,389.8669006385,43459.6986890513,2013.6594438217,15.3594548529,195.0786988424,1.4989835463,Borg
73.3000709291,1916.3002360816,77.7988763454,1.9781500893,419.9973078828,42927.3080503201,2128.2933059872,16.2064718587,198.1956585621,0.8217985786,Borg
73.2993428127,1945.2518345993,77.8864607776,1.9122414133,389.2580717284,43412.4763179619,2004.6399223962,15.2532181965,195.0732317849,1.4546002149,Borg
73.3078283815,1944.3738814299,78.9370788192,1.9138187333,389.2029434108,43424.2624517715,2001.7793079317,15.3087765163,195.1208992946,1.4568466758,Borg
73.3407049238,1889.3239190567,65.4113786117,1.8898626778,449.9666697402,42348.4088178121,2193.8270472172,15.0049548073,198.1392847608,0.5999278032,Borg
73.4715425979,1887.1102076687,59.9850378492,1.9494618805,449.99770587,42431.3204065174,2123.7567592652,15.6355133693,199.8573986837,0.8898861942,Borg
73.3387611457,1913.5846854368,77.8839561301,1.8849169382,419.8507574805,42736.4440174345,2130.0301551797,15.3042006726,195.916786701,0.8176377743,Borg
73.5530644826,1884.9481172277,59.9802932363,1.9469179049,449.9785246664,42285.9334830583,2275.3180529506,15.3328589738,198.0558409283,0.8266509475,Borg
73.3522796897,1894.2861367403,65.990073879,1.9198672847,449.2058071583,42432.3820355924,2270.8604478015,15.3001408231,197.6703042487,0.599349397,Borg
73.2981914366,2033.0038194457,79.9487993328,1.9885984146,376.2068786212,44861.2778529591,2036.5465149476,15.6088691231,189.4901972052,0.2805668199,Borg
73.3309552658,1999.3056118443,76.8189701394,1.9959516236,386.2876755319,44137.0431779547,2242.1625493599,15.3161452211,189.3700742112,0.289067461,Borg
73.2513882565,2010.498101603,65.9070641662,1.9744705917,388.6402184317,44273.8140872994,2255.003913698,15.0188460865,188.0118937165,0.2930900094,Borg
73.3468474253,1973.7549179511,65.527146895,1.9942832269,416.0118667601,43578.1879216727,2437.307565787,15.3543082451,189.5780906746,0.2955512956,Borg
73.6482810304,1917.1312155141,59.9388092326,1.9367723061,419.0602354966,42948.3900587312,2075.1663245181,15.3027326657,196.7407650826,0.8750767773,Borg
73.6461762051,1917.8392569812,59.993107953,1.9416975931,419.2415123812,42936.5893431269,2117.6790002357,15.3395059494,196.0359684248,0.9876686948,Borg
73.2647436026,1893.6670043961,65.531594391,1.9988942994,449.9888722927,42337.4921179253,2422.1183870299,15.6016082583,196.1337471421,0.5985329022,Borg
73.307616963,1924.6013976849,65.9117431718,1.978947016,419.9586096001,42914.6542639432,2289.6221541232,15.615584228,195.4007979255,0.5999863557,Borg
73.3461033638,1935.9164805957,76.0473797485,1.8232529741,449.2092689129,43241.5061996739,2017.7355619922,15.0064190515,196.2992653601,0.2949864631,Borg
73.2770360239,1939.6257055674,76.5280886781,1.917934006,449.7805389105,43140.3554235403,2255.144370529,15.3174140154,193.6974761847,0.2934348704,Borg
73.2748881383,1914.7253367452,64.9372587453,1.9792099578,419.9914695116,42712.2246203823,2309.2643034032,15.6012979496,195.1476712245,0.8910046531,Borg
73.4952482526,1887.4693253693,59.990677005,1.9401109579,470.5004596204,42539.2071082535,2106.7534716821,15.2674367342,201.0254218351,1.2513892217,Borg
73.3113534185,1943.8844949013,77.8927134745,1.9402516406,443.6634487644,43380.4657300999,2126.8785942004,15.9125382966,196.3438179305,0.2878743821,Borg
73.3296028442,1939.5971131639,77.7891840075,1.9979456282,415.2020350475,43430.9786442095,2032.937156562,16.5054622392,198.5370895556,0.5920777901,Borg
73.3116606156,1976.3472351523,79.3570995527,1.9729562041,389.9208215928,43819.6803469198,2131.654026462,15.6122833174,192.4671077251,0.5730865785,Borg
73.2890146088,1916.364712764,64.490241512,1.9454548951,449.9058017208,42772.2811276724,2282.8864441213,15.0022478321,195.2648806919,0.2987145057,Borg
73.3101587339,1918.9881246669,71.4745778558,1.9794429372,419.6245125809,42677.0616954097,2459.9546555183,15.3010871424,192.4772972512,0.599480411,Borg
73.3165259704,1887.5584140454,79.2302848078,1.8881125791,454.8031667687,42404.8430428676,2110.654572758,15.6120537886,198.8042526625,1.1700624455,Borg
73.3392043262,1927.4618511914,61.8617700641,1.7934755631,448.6560921649,43031.8327848113,2002.9001513521,14.4736126141,196.5563195203,0.2961172231,Borg
73.2955203086,1916.5048455976,65.1902791051,1.9998404238,419.49345656,42675.2073885151,2424.4010669927,15.6019174561,194.2593641378,0.7273191804,Borg
73.4637655881,1886.9756797042,59.9796972506,1.8893332376,455.7492931219,42517.6533250499,2048.1045947565,15.3428122285,200.4420048302,0.8045586019,Borg
73.9006698211,1942.8225283028,59.7009629747,1.9488973285,418.7945176658,43471.9067768431,2026.2220530622,15.3445222817,197.1245465987,0.5444813482,Borg
73.3389417518,1946.8569125967,71.9899122287,1.9762509881,389.5022618494,43424.5590483726,2120.9286313299,15.6141832034,194.3726012521,0.8856386875,Borg
73.339339098,1887.4139635934,64.7042939384,1.885590651,449.8482074742,42543.3479631269,2004.3706456445,15.3627504422,201.0116042303,0.8329224331,Borg
73.2959436531,1929.0369419244,65.1700804655,1.9194282798,418.6147484826,43200.5698892856,2007.1628312605,15.602094173,198.1969255953,0.5908846146,Borg
73.3298187073,1971.4203511407,70.0848859594,1.9997977006,389.307554377,43559.0146748315,2413.4446494318,15.3237694336,189.4374743378,1.2427908787,Borg
73.7658199833,1939.1901036481,59.9476364805,1.978253314,416.8702119993,43345.5270801178,2065.9256356225,15.3115162692,196.3314992377,0.5559215773,Borg
73.3427861161,1949.1728030388,71.4512236972,1.9992274515,389.6291692241,43446.1445941216,2130.5476542774,15.9002339612,195.278918658,1.2414638657,Borg
73.3343053954,1887.1407363036,62.4528180728,1.9465405314,470.5988330203,42509.3516046486,2115.7730146796,15.7791809295,201.0063058706,0.8818368472,Borg
73.2684090535,1885.5037605136,77.7003374211,1.9989195198,449.8298238495,42160.1269992838,2432.2711374208,15.9026664239,196.427403047,0.8831249032,Borg
73.2714783957,1888.7644733729,71.1605046591,1.996909275,449.7095466007,42228.9618793409,2449.7460331258,15.6089320501,195.7094076119,0.59963498,Borg
73.5717281745,1895.5822289468,59.9762088311,1.9154319807,448.3050222889,42614.5535439781,2108.9705891107,15.3416425516,199.6238426799,0.5978810779,Borg
73.3406770444,1944.8091127254,71.2682222215,1.9192851691,389.9962200758,43270.4828673863,2036.905125114,15.0137920348,193.8427470852,1.1592578344,Borg
73.3400748368,1990.5409077448,65.7706696733,1.9461203243,389.344964472,44035.6553780345,2078.746757232,15.0025980131,191.4388511707,0.2813483372,Borg
73.3006054165,1900.3243520633,65.0199333743,1.8297462354,449.748799614,42576.1107038939,2103.482737258,14.7276102641,197.6038596947,0.5712305958,Borg
73.3179129837,1884.5439230664,63.1087580039,1.9962260319,469.2000637819,42265.1728204782,2406.4511151153,15.6390164967,198.0484424561,0.8704952871,Borg
73.2944763755,1956.17947163,70.8412501917,1.9468687993,389.8725614328,43490.3459502538,2101.5214894021,15.339089494,193.7087671896,0.8879569277,Borg
73.3268468358,2001.4180475875,77.8410817937,1.9657439621,388.2657507602,44303.3313399208,2061.6831422877,15.4954044102,191.3766840854,0.2857590527,Borg
73.3261936644,1945.7384828099,77.9796554667,1.9782782747,389.844923867,43461.3453744596,2115.0659951794,15.9023525887,195.3153488374,0.8248766799,Borg
73.2761946045,1946.0303282584,77.6645063338,1.9494057615,389.7604885825,43411.4656643032,2021.6178859545,15.6042971504,195.0457863398,0.8735588743,Borg
73.4936923903,1918.4256643751,77.8580476711,1.9470723527,419.7147368648,43059.841054275,2042.3813037787,15.633898157,198.3370415993,0.5998002953,Borg
73.4266657759,1886.9597525763,59.9980300715,1.8884320011,468.0720272786,42540.1319047126,2026.0625102881,15.4298708702,201.0864185973,1.1174915887,Borg
73.4760312903,1887.0606591052,59.4068179823,1.8562714267,457.941792193,42528.341345686,2013.4777271876,15.0209840574,201.0120517715,0.8597527375,Borg
73.3114214116,1893.4325190953,65.8022470038,1.8595754965,448.9851464669,42438.7733151835,2131.287635477,15.0008223278,198.2248864101,0.599843899,Borg
73.3128912191,1897.9927269969,77.6657665578,1.886434781,449.9644150052,42695.032850075,2064.4269264913,15.602163728,199.814348505,0.5933073251,Borg
73.4803816867,1948.2124408079,79.4850323161,1.9981647124,389.9513915093,43569.0981328175,2033.832130486,16.2527495078,195.8287072299,1.1760934808,Borg
73.2793654972,1943.0209598406,65.4145102327,1.9960013855,437.2398155041,43003.5338854616,2558.9064830099,15.3042489718,190.8544810709,0.2696919094,Borg
73.8743507333,1937.961340224,59.8341918431,1.9931253048,417.0774082824,43373.2499707081,2108.4477198168,15.6314865611,196.8737731492,0.5761060809,Borg
73.3016232889,1899.1848502231,62.7057800404,1.9914279462,449.4733116638,42756.6216736351,2102.1382070688,16.2199991967,201.0130823496,0.5877788336,Borg
73.3226098336,1929.4601809521,77.67672703,1.8565154078,417.9695472288,43115.6731603226,2100.0845035191,15.0306184152,195.6741379356,0.5805051975,Borg
73.3363473913,1894.4350840254,64.6369361245,1.9982998708,449.2992741441,42510.714122513,2262.8638771564,15.9267041983,198.4051331245,0.5958734676,Borg
73.3424346325,1891.5658273608,59.9904786114,1.9174214938,488.3675729275,42684.2280390639,2002.1120205973,15.3920954493,201.931811015,1.3933264326,Borg
73.4870730563,1885.2325398303,59.977717554,1.9442200517,449.9459891543,42322.8867302839,2259.8940242464,15.2248944557,198.0071839977,0.8967003459,Borg
73.3112408804,1946.1086342414,70.5636628703,1.9940500367,389.9507978543,43442.0344696619,2025.4245859518,15.9000011787,195.2863221168,1.1349030984,Borg
73.2838180848,1906.7962542038,77.2377407625,1.9991395686,444.1618833066,42442.7018262067,2566.8977375502,15.639343262,193.5752979442,0.5599517358,Borg
