Cost,Crit Reliablity,Surplus,Dropped Transfers,Number of Leases,Dropped Transfers Cost,Algorithm
0.0941786474,0.995,0.1298127707,0.0276318407,0.0159,0.025711,Borg
0.0976268208,0.995,0.1487613145,0.0158633785,0.0219,0.0273675,Borg
0.0940724366,0.9925,0.1437640262,0.0237550417,0.0141,0.0274935,Borg
0.1012918493,0.995,0.1748272891,0.0157865488,0.0077,0.0173715,Borg
0.0899101231,0.9916666667,0.1237844842,0.0315881312,0.0352,0.0239475,Borg
0.0898892247,0.9975,0.1239313641,0.0316257546,0.0379,0.0239475,Borg
0.0942128594,0.9991666667,0.1369891161,0.0453050373,0.0119,0.0203955,Borg
0.0924375361,0.995,0.1321453083,0.0228987253,0.0208,0.0290295,Borg
0.0919377017,0.9975,0.1196582867,0.0279901942,0.0341,0.0237725,Borg
0.1030493094,0.995,0.1788084643,0.0154669681,0.0084,0.0159935,Borg
0.0978292888,0.9983333333,0.149112833,0.0235782952,0.0136,0.0199765,Borg
0.0952692353,0.9941666667,0.1410957364,0.027964564,0.0114,0.0216775,Borg
0.09520327,0.9966666667,0.1263696916,0.01972581,0.0379,0.031975,Borg
0.1032006424,0.9983333333,0.2004617347,0.0158188453,0.0072,0.0095685,Borg
0.0997940164,0.99,0.1925029645,0.0078530486,0.0108,0.031373,Borg
0.1078019499,0.9975,0.1935532539,0.0174885016,0.0071,0.007959,Borg
0.0961423116,0.9908333333,0.1515784014,0.0279326031,0.0106,0.014403,Borg
0.0888717582,0.9941666667,0.1098100347,0.0260467881,0.0347,0.031053,Borg
0.1017939508,0.9908333333,0.1991268712,0.0076623945,0.0075,0.036616,Borg
0.0937567514,0.9941666667,0.115736876,0.0237398363,0.0303,0.0276235,Borg
0.0962471826,0.9925,0.1592756468,0.0157447987,0.0107,0.0274275,Borg
0.0971631991,0.9983333333,0.1467101496,0.0292406539,0.0119,0.023253,Borg
0.1010689974,0.9966666667,0.1752452752,0.0146947798,0.0091,0.017762,Borg
0.0968156952,0.9983333333,0.153614755,0.0177838983,0.0311,0.023495,Borg
0.0977250712,0.995,0.1444250656,0.0235350447,0.0116,0.0198925,Borg
0.1005656542,0.9941666667,0.1806593059,0.0110100616,0.0073,0.038147,Borg
0.1004303101,0.9983333333,0.1770571736,0.0220306815,0.0075,0.016979,Borg
0.101623516,0.9975,0.1478920096,0.0273992528,0.0111,0.011964,Borg
0.1024584717,0.9941666667,0.1788345471,0.0119591443,0.0115,0.023991,Borg
0.0899034987,0.9966666667,0.1300388158,0.0350267704,0.045,0.0189165,Borg
0.0899545481,0.9916666667,0.1206839851,0.0311116957,0.0192,0.0297255,Borg
0.0973107341,0.9966666667,0.1481103583,0.0278339129,0.0105,0.014286,Borg
0.0961581072,0.9941666667,0.1549642872,0.0228774596,0.0113,0.02398,Borg
0.0971719336,0.9925,0.1479100866,0.0234835746,0.0119,0.019947,Borg
0.0975943696,0.9941666667,0.1492474274,0.0197085715,0.0118,0.023646,Borg
0.1028821171,0.9916666667,0.2022496468,0.0079099907,0.012,0.024114,Borg
0.0908742784,0.9991666667,0.1192368556,0.0313486681,0.0319,0.0239475,Borg
0.09955431,0.9941666667,0.1710071082,0.0159434707,0.0102,0.018943,Borg
0.0941506833,0.9908333333,0.1296248124,0.0267086249,0.0116,0.025822,Borg
0.0971593683,0.995,0.1425590335,0.0279418309,0.0117,0.014226,Borg
0.0907763138,0.9941666667,0.1186201844,0.031075077,0.0191,0.0272355,Borg
0.0913420177,0.9908333333,0.1197765129,0.0316886675,0.0138,0.0269485,Borg
0.0890425817,0.9958333333,0.1057419606,0.0226259959,0.0453,0.031494,Borg
0.09523113,0.9925,0.1446220262,0.0238451763,0.0102,0.024553,Borg
0.094261395,0.9966666667,0.1420137616,0.0310213041,0.0275,0.0157065,Borg
0.1022816672,0.9933333333,0.2118208632,0.0078808159,0.0102,0.034177,Borg
0.091696983,0.9966666667,0.1186603551,0.0230040607,0.0315,0.030072,Borg
0.102549951,0.9966666667,0.1867572287,0.0156794016,0.0075,0.015959,Borg
0.1054714569,0.995,0.2068626523,0.007807799,0.0079,0.0340975,Borg
0.0990801559,0.9983333333,0.1474548975,0.0196442538,0.0154,0.0264435,Borg
0.0996748634,0.9925,0.1838974574,0.0103097423,0.0078,0.025203,Borg
0.0962295396,0.9983333333,0.1400232915,0.0392849242,0.0118,0.0177735,Borg
0.0953129251,0.9983333333,0.1318586798,0.023743849,0.0225,0.02769,Borg
0.0916400695,0.9941666667,0.1193274554,0.0277767814,0.0216,0.027183,Borg
0.094446152,0.9983333333,0.1410141325,0.0317783522,0.0288,0.015696,Borg
0.0967032914,0.9983333333,0.1464463013,0.0275852856,0.0153,0.014484,Borg
0.0917304359,0.9925,0.1199712693,0.0313641281,0.0258,0.0189165,Borg
0.0914440508,0.9925,0.1265849733,0.0351469824,0.0115,0.026376,Borg
0.0970528978,0.9966666667,0.1504461867,0.0230262964,0.0158,0.01972,Borg
0.0952909278,0.9983333333,0.1384343872,0.0433187508,0.012,0.019161,Borg
0.0978594942,0.9975,0.1534402222,0.0343978651,0.0079,0.015753,Borg
0.0970728332,0.9941666667,0.1454360683,0.0176014149,0.0129,0.026409,Borg
0.1018186825,0.995,0.1798977869,0.011514893,0.0073,0.0249075,Borg
0.0971197131,0.9966666667,0.1517048254,0.0194122817,0.0153,0.0269175,Borg
0.0939240853,0.9941666667,0.1331140702,0.0316058711,0.0117,0.024924,Borg
0.103750487,0.9966666667,0.2986648046,1.16E-04,6.00E-04,0.012525,Borg
0.0931215611,0.9966666667,0.1356058447,0.0295548896,0.0158,0.027969,Borg
0.0889946997,0.9958333333,0.1221029679,0.0311630829,0.0324,0.027867,Borg
0.0916171024,0.9983333333,0.1165384711,0.0278460975,0.0258,0.025043,Borg
0.0962879014,0.9941666667,0.1411424381,0.0237820506,0.013,0.023989,Borg
0.0906151089,0.9908333333,0.1225755883,0.0317215215,0.0182,0.0238735,Borg
0.099749008,0.9941666667,0.1678782044,0.0117381389,0.0109,0.0262455,Borg
0.0962265564,0.9933333333,0.1430018039,0.0195502446,0.0135,0.027567,Borg
0.0899425772,0.9991666667,0.1056563597,0.0229289053,0.0529,0.031308,Borg
0.0975775423,0.9966666667,0.1477080017,0.0238697858,0.0116,0.026565,Borg
0.0997437229,0.9966666667,0.1839302832,0.0199870425,0.0096,0.0116805,Borg
0.0986593851,0.9983333333,0.1544266378,0.019047663,0.0145,0.0231655,Borg
0.0915304974,0.9983333333,0.1192848387,0.0319776192,0.0343,0.0189165,Borg
0.0961526698,0.995,0.1528930731,0.0269434953,0.0108,0.0197605,Borg
0.0917810811,0.9983333333,0.1223523657,0.0348982185,0.0189,0.0189165,Borg
0.1007817201,0.9941666667,0.1490726765,0.0199032892,0.0115,0.0199735,Borg
0.0978664542,0.9983333333,0.158637285,0.0199353305,0.0244,0.019453,Borg
0.0998264249,0.9983333333,0.1688674505,0.0223261084,0.0119,0.011883,Borg
0.0906592661,0.9983333333,0.1227927486,0.033527201,0.0195,0.0297645,Borg
0.0904362561,0.9983333333,0.1144221691,0.0277415768,0.027,0.03027,Borg
0.0989489039,0.9925,0.1481969663,0.0159313825,0.0113,0.026982,Borg
0.0994395135,0.9966666667,0.1782248604,0.0196707775,0.0071,0.020848,Borg
0.0991675262,0.9966666667,0.1488386637,0.0189529645,0.019,0.0198775,Borg
0.0915194487,0.9941666667,0.1181753338,0.0317958068,0.0287,0.0189165,Borg
0.1025258313,0.9941666667,0.1474990646,0.0237143678,0.0107,0.0118965,Borg
0.1067162938,0.9975,0.1960985083,0.016904771,0.008,0.007974,Borg
0.0968371262,0.9941666667,0.1644863927,0.0193113014,0.0114,0.0197645,Borg
0.0986770671,0.9941666667,0.1657427613,0.0151205279,0.0111,0.0229925,Borg
0.1001624087,0.9966666667,0.1767932915,0.0158729826,0.0118,0.021833,Borg
0.0987874383,0.9966666667,0.1662360608,0.0251112511,0.0076,0.012894,Borg
0.0926934077,0.9991666667,0.1255476677,0.0279293448,0.0398,0.023295,Borg
0.0926519264,0.9925,0.1196490252,0.0350831634,0.0147,0.01908,Borg
0.0944464972,0.9925,0.141795994,0.0308137822,0.0138,0.015978,Borg
0.1014079863,0.9983333333,0.1904569722,0.0190736495,0.0079,0.010599,Borg
0.0886523786,0.9966666667,0.1088209303,0.0239742704,0.0673,0.031002,Borg
0.0908223689,0.9941666667,0.1271942861,0.0358099093,0.0185,0.0189165,Borg
0.0971073804,0.9941666667,0.1561796057,0.0156874404,0.0252,0.0310815,Borg
0.0928935467,0.9908333333,0.1300421338,0.0279887744,0.0144,0.0225265,Borg
0.0949127439,0.9966666667,0.1368851877,0.0238638364,0.0212,0.022072,Borg
0.0971014887,0.9908333333,0.1565571336,0.0231618351,0.0134,0.013155,Borg
0.0906546325,0.99,0.124139298,0.0315459803,0.0277,0.0188865,Borg
0.0964389317,0.9908333333,0.1426594972,0.0289097722,0.0077,0.020479,Borg
0.1034158377,0.9941666667,0.2870803195,2.50E-04,0.0016,0.01434,Borg
0.1006419183,0.9966666667,0.1488327762,0.0337650573,0.0079,0.0138345,Borg
0.1001221539,0.9966666667,0.1786386664,0.0151504096,0.0079,0.0248715,Borg
0.1030934705,0.995,0.1961964421,0.0079043903,0.0083,0.032959,Borg
0.0997728661,0.9983333333,0.1853184225,0.0187948951,0.0095,0.0173985,Borg
0.0917994502,0.9925,0.1192841732,0.027657169,0.0192,0.0292965,Borg
0.0908982642,0.9975,0.1257983004,0.0343290439,0.0221,0.0189165,Borg
0.1049200649,0.9983333333,0.1913614022,0.011921314,0.0074,0.0230955,Borg
0.0907156696,0.9958333333,0.1242452571,0.0310987931,0.0316,0.018891,Borg
0.0946413845,0.9941666667,0.1178691498,0.0214651355,0.0271,0.0276715,Borg
0.0908939885,0.9941666667,0.1198421718,0.0326320322,0.0204,0.0239225,Borg
0.1006002365,0.9983333333,0.146912767,0.0258059476,0.0247,0.011913,Borg
0.1097835287,0.9991666667,0.3440764376,4.10E-04,0.0033,0.00376,Borg
0.1022401404,0.9983333333,0.1790702053,0.0159470049,0.0074,0.0168605,Borg
0.0991206988,0.9916666667,0.1496410306,0.0238225771,0.0102,0.0132615,Borg
0.0944087423,0.9925,0.1339786976,0.0270507003,0.0153,0.0220945,Borg
0.0934946069,0.9966666667,0.130080532,0.0400244494,0.0119,0.019815,Borg
0.0889958271,0.9983333333,0.1143392193,0.0274358309,0.0387,0.028464,Borg
0.0908329964,0.9975,0.1187741818,0.0236651507,0.0344,0.0301785,Borg
0.1014975705,0.9925,0.1988409569,0.0078384602,0.0088,0.037769,Borg
0.1035479558,0.9908333333,0.1773143457,0.0071706581,0.0132,0.036641,Borg
0.0978707756,0.9966666667,0.1421214226,0.0197951092,0.014,0.027207,Borg
0.0916243073,0.9966666667,0.1264086807,0.0274009008,0.0317,0.023948,Borg
0.0917276536,0.9916666667,0.1230724445,0.0319975257,0.0136,0.0234135,Borg
0.0960642793,0.9983333333,0.1548207035,0.0251481198,0.0219,0.0198385,Borg
0.0965759243,0.9983333333,0.1582553791,0.0232358638,0.0159,0.023221,Borg
0.0906989318,0.99,0.1198210561,0.032845907,0.015,0.0243015,Borg
0.0953670575,0.9983333333,0.1422059524,0.0318577858,0.0154,0.015975,Borg
0.0953878496,0.9966666667,0.1342808612,0.0278938823,0.0153,0.021345,Borg
0.099794672,0.9941666667,0.1770626901,0.0154025229,0.0078,0.021656,Borg
0.0924168416,0.9983333333,0.1267018985,0.0375910778,0.0157,0.019146,Borg
0.0987061819,0.9941666667,0.146524362,0.0237628006,0.0079,0.025833,Borg
0.0979342671,0.9941666667,0.1654851925,0.0142119488,0.0117,0.026223,Borg
0.1002331857,0.9983333333,0.1485567081,0.0185471481,0.0217,0.0238425,Borg
0.1013237065,0.9983333333,0.1494650377,0.0264920918,0.0146,0.011949,Borg
0.091629744,0.9983333333,0.1190079797,0.0317116798,0.0225,0.023916,Borg
0.0925553034,0.9941666667,0.1238389322,0.0370690833,0.0118,0.0193755,Borg
0.1007034544,0.9916666667,0.1928344262,0.00795898,0.0104,0.033746,Borg
0.0899207555,0.9925,0.126759035,0.0346176162,0.035,0.0189165,Borg
0.0950719197,0.9941666667,0.1356252906,0.0238033765,0.0191,0.0220425,Borg
0.0890970893,0.9958333333,0.1214693554,0.0303970613,0.031,0.029946,Borg
0.0944334516,0.9941666667,0.1360087137,0.0238134354,0.0231,0.0222325,Borg
0.1040753117,0.9941666667,0.2885369153,1.82E-04,0.0014,0.01176,Borg
0.0899675324,0.9983333333,0.1256114412,0.0331812167,0.0374,0.0239475,Borg
0.0928911122,0.9983333333,0.1206458541,0.0279180311,0.0264,0.023829,Borg
0.0931024153,0.9991666667,0.1174434402,0.0273428316,0.0301,0.023833,Borg
0.0951928978,0.9916666667,0.1338108385,0.0151231151,0.0772,0.031752,Borg
0.1007766837,0.9983333333,0.1866112747,0.0206357515,0.0074,0.011088,Borg
0.0961811861,0.9966666667,0.1483392082,0.0276294991,0.0171,0.019927,Borg
0.0961036839,0.9991666667,0.1419070126,0.0265687043,0.015,0.0239425,Borg
0.0951046505,0.9966666667,0.1158299509,0.0192225149,0.0549,0.034029,Borg
0.0935712661,0.9916666667,0.1365311329,0.0234998978,0.0198,0.025419,Borg
0.095445131,0.9991666667,0.1280940762,0.0199826605,0.0435,0.032991,Borg
0.0943700958,0.9983333333,0.1151917223,0.0183162954,0.0777,0.032671,Borg
0.0908378867,0.9983333333,0.1218382347,0.0317276103,0.0249,0.0239475,Borg
0.0889873388,0.9983333333,0.1157642086,0.0280836448,0.0673,0.026049,Borg
0.0926560245,0.9933333333,0.1185214566,0.0319358025,0.0139,0.0287805,Borg
0.0938641903,0.9941666667,0.1191153425,0.0298585128,0.0152,0.028425,Borg
0.0942866054,0.9983333333,0.1367230748,0.0314132784,0.0187,0.016515,Borg
0.1056867065,0.9966666667,0.1789593227,0.0116836935,0.0124,0.023976,Borg
0.0952399762,0.9916666667,0.1441488581,0.0278626819,0.019,0.0152985,Borg
0.0933986619,0.9958333333,0.1180456914,0.0277253837,0.0197,0.029346,Borg
0.0987821227,0.9941666667,0.1646594851,0.0159558799,0.0129,0.0193695,Borg
0.0929405525,0.9966666667,0.1215037499,0.0276261548,0.0228,0.023844,Borg
0.0981386358,0.9983333333,0.1477450203,0.0266138652,0.0119,0.0197915,Borg
0.0931919755,0.99,0.1252525778,0.0311949653,0.0119,0.0228475,Borg
0.1006563854,0.9966666667,0.1480618369,0.0293469165,0.0187,0.0119355,Borg
0.1105417766,0.9991666667,0.3299089771,4.51E-04,0.0035,0.00393,Borg
0.0922336533,0.9941666667,0.1202009168,0.0275298754,0.0235,0.0239395,Borg
0.0990618511,0.9966666667,0.1433769653,0.0199938583,0.0158,0.0236245,Borg
0.0961692183,0.9966666667,0.1523240052,0.0233259495,0.0147,0.020274,Borg
0.0952236409,0.9983333333,0.1335545298,0.0267820742,0.0187,0.021835,Borg
0.0999768048,0.9983333333,0.1498673669,0.0238956864,0.0112,0.0251745,Borg
0.0917719081,0.9908333333,0.1198861005,0.0334430147,0.0144,0.023597,Borg
0.098001704,0.9966666667,0.1616999946,0.0189881971,0.0116,0.0230895,Borg
0.0977685683,0.99,0.1492982049,0.0153379613,0.0113,0.027141,Borg
0.099832655,0.9966666667,0.1642034171,0.0158766474,0.0099,0.0253305,Borg
0.0896602695,0.9925,0.1111330182,0.0238606376,0.0431,0.030744,Borg
0.1047851452,0.995,0.2236846035,0.0074112124,0.0103,0.023889,Borg
0.0982815167,0.9966666667,0.1666431009,0.019945022,0.0098,0.019112,Borg
0.0984968705,0.9966666667,0.1490063884,0.0239988501,0.0115,0.0225235,Borg
0.0942312143,0.9983333333,0.1259675273,0.0225243883,0.0259,0.0286095,Borg
0.0925942634,0.9925,0.1172278334,0.0237113323,0.0255,0.027658,Borg
0.1004964326,0.9941666667,0.1488868072,0.0228482422,0.0147,0.0119805,Borg
0.0927745625,0.9941666667,0.1264775678,0.0357892268,0.0116,0.0186555,Borg
0.0985895321,0.9925,0.1498633584,0.0269010389,0.0079,0.0193545,Borg
0.1007252487,0.9933333333,0.1794750745,0.0116257361,0.0076,0.0249465,Borg
0.1005279108,0.9966666667,0.1775990234,0.019930759,0.0078,0.011157,Borg
0.0942097148,0.9983333333,0.1252764488,0.0277489803,0.0231,0.0232605,Borg
0.0908869926,0.9983333333,0.1237613974,0.0352031916,0.0275,0.0189165,Borg
0.1018092203,0.9908333333,0.1766110852,0.0079721236,0.013,0.0439575,Borg
0.1006928987,0.9966666667,0.1844898199,0.0159371588,0.0101,0.017703,Borg
0.0920418825,0.995,0.1195192893,0.0235709544,0.0434,0.027312,Borg
0.0944131541,0.9966666667,0.1176995653,0.0269243174,0.0198,0.0290055,Borg
0.0921466244,0.9966666667,0.1230864266,0.0278795198,0.0269,0.0238525,Borg
0.0926793852,0.9966666667,0.1220915683,0.0278182877,0.0198,0.029124,Borg
0.0942415053,0.9966666667,0.1177103581,0.023500411,0.0398,0.027014,Borg
0.096212357,0.9966666667,0.1591806398,0.0271779953,0.0146,0.019701,Borg
0.0957431383,0.9941666667,0.1482451948,0.0214014548,0.0105,0.027288,Borg
0.0979950786,0.9966666667,0.1577473079,0.0222137483,0.0111,0.0193245,Borg
0.1081569106,0.9966666667,0.2126528992,0.0073502372,0.008,0.030805,Borg
0.0980075289,0.9983333333,0.1579086333,0.0178154968,0.014,0.0269955,Borg
0.0998315792,0.9975,0.1498291139,0.0159908942,0.0249,0.027,Borg
0.097698396,0.9908333333,0.1463446013,0.0229135425,0.0151,0.013254,Borg
0.0991617795,0.9941666667,0.1467632153,0.0158012423,0.0166,0.0268215,Borg
0.0907736267,0.9908333333,0.1197175304,0.0317887443,0.0155,0.0299085,Borg
0.0921285993,0.9908333333,0.1275196156,0.0279082321,0.0134,0.028917,Borg
0.0925476638,0.9983333333,0.1266083116,0.0357926154,0.0157,0.0258805,Borg
0.088168188,0.9975,0.1087227929,0.0229986755,0.116,0.033439,Borg
0.098953861,0.9925,0.1473766886,0.0234858822,0.0167,0.0127665,Borg
0.1066265886,0.995,0.212784599,0.0068024043,0.0066,0.03082,Borg
0.094184065,0.9983333333,0.1198452203,0.0277820539,0.0236,0.0264715,Borg
0.0980531251,0.9925,0.1453059918,0.0310162912,0.0079,0.0142005,Borg
0.0939932887,0.9925,0.119672131,0.023355612,0.0539,0.0238785,Borg
0.091749266,0.9916666667,0.1198682422,0.0312653741,0.02,0.0189165,Borg
0.095727383,0.9908333333,0.1454369252,0.0156397197,0.0189,0.0320915,Borg
0.0997337705,0.9966666667,0.1657068407,0.0154849463,0.0151,0.0187295,Borg
0.0968929443,0.9941666667,0.1435933986,0.0238055138,0.0145,0.019938,Borg
0.0996612134,0.9966666667,0.1485638451,0.0235082201,0.0117,0.019435,Borg
0.0924736964,0.9941666667,0.1237947561,0.0319955643,0.019,0.0183075,Borg
0.099060742,0.9941666667,0.1488414148,0.0309784574,0.0072,0.0137595,Borg
0.0984234178,0.9941666667,0.1455616411,0.0270952436,0.0079,0.022797,Borg
0.08988551,0.9983333333,0.1138646903,0.0278557169,0.0299,0.028464,Borg
0.0970019686,0.9983333333,0.1513829273,0.0353808478,0.0116,0.0158685,Borg
0.1025524495,0.9966666667,0.1791702848,0.0119395608,0.0103,0.025056,Borg
0.0937352973,0.9966666667,0.117777274,0.0219499992,0.0262,0.0296325,Borg
0.0898333202,0.9983333333,0.1146481674,0.0288385729,0.0276,0.030612,Borg
0.0942173808,0.9941666667,0.1473688633,0.0313481242,0.0168,0.015831,Borg
0.0961336985,0.9941666667,0.1568378437,0.0198437102,0.0115,0.026982,Borg
0.0899492324,1,0.1284067826,0.0341891143,0.052,0.0189165,Borg
0.102183315,0.9991666667,0.1797841831,0.0198403476,0.0076,0.010593,Borg
0.1067402323,0.9908333333,0.2350159716,0.0036681059,0.0079,0.0332375,Borg
0.097635903,0.99,0.1496344332,0.0274022673,0.0076,0.019482,Borg
0.0907844274,0.9925,0.1236067433,0.0328598747,0.0155,0.0239475,Borg
0.0917464903,0.9975,0.1199205368,0.0278612558,0.0453,0.023961,Borg
0.0981966584,0.9941666667,0.149822496,0.0198797552,0.0159,0.0197655,Borg
0.0977843869,0.9983333333,0.146236608,0.0261894032,0.0118,0.025917,Borg
0.1015852106,0.9966666667,0.1889220926,0.0113204414,0.0098,0.024774,Borg
0.0889552766,0.9975,0.1133944164,0.0254400679,0.0568,0.026398,Borg
0.0917309513,0.9941666667,0.1195510568,0.0326371433,0.0157,0.0269295,Borg
0.098827317,0.9933333333,0.1686662204,0.0118979671,0.0108,0.02679,Borg
0.1031915641,0.9983333333,0.1467928566,0.0312829678,0.0118,0.0119865,Borg
0.1018200665,0.9966666667,0.149297005,0.023732516,0.0163,0.012792,Borg
0.0985273542,0.9941666667,0.1445284563,0.0333899545,0.0079,0.0148815,Borg
0.1074841386,0.9983333333,0.2963323079,3.23E-04,0.0018,0.009535,Borg
0.0971249759,0.9925,0.1497611773,0.0186352073,0.0112,0.0239325,Borg
0.0948144379,0.9983333333,0.1191759583,0.0237329224,0.0313,0.0287985,Borg
0.097074783,0.9983333333,0.1487090007,0.0156506666,0.0422,0.0299765,Borg
0.0925296872,0.9966666667,0.1170704864,0.0279919995,0.0237,0.026906,Borg
0.0952981583,0.9916666667,0.1487549955,0.0193822539,0.0152,0.023956,Borg
0.0979711155,0.9925,0.1491053549,0.0156880717,0.0122,0.027501,Borg
0.1007680534,0.9983333333,0.168127311,0.0152087054,0.0149,0.024891,Borg
0.102090583,0.9966666667,0.1878377071,0.0116219057,0.0089,0.0238395,Borg
0.0986878118,0.9966666667,0.1789837941,0.0155110108,0.0129,0.0252825,Borg
0.0908051817,0.99,0.1197049085,0.0342357094,0.019,0.0239385,Borg
0.0907507206,0.9975,0.1191742411,0.0338428192,0.0265,0.0239475,Borg
0.0926566323,0.995,0.1193561064,0.0273697026,0.031,0.0234575,Borg
0.100651244,0.9983333333,0.1493707204,0.0276868879,0.0119,0.0123015,Borg
0.0942168433,0.9983333333,0.1328275986,0.0266861684,0.0178,0.027978,Borg
0.0908077885,0.9983333333,0.1164827449,0.0310512976,0.0237,0.027563,Borg
0.0973765613,0.9933333333,0.1472462728,0.0231837282,0.0078,0.020106,Borg
0.0944508984,0.9966666667,0.1420896152,0.0338325982,0.0205,0.015999,Borg
0.0899964303,0.9991666667,0.1246950697,0.0310690501,0.0487,0.0239475,Borg
0.0915263972,0.995,0.1161499489,0.023376787,0.0272,0.0298815,Borg
0.0978469735,0.9966666667,0.147780472,0.0192385008,0.0186,0.0234875,Borg
0.0944999191,0.99,0.1362255344,0.023992194,0.0192,0.021771,Borg
0.0963120734,0.9966666667,0.1446491905,0.0239157318,0.0159,0.023938,Borg
0.0995820097,0.9983333333,0.1594332463,0.0195368253,0.0117,0.0254535,Borg
0.0934981826,0.9991666667,0.1228652295,0.0233578904,0.0294,0.0293925,Borg
0.097139022,0.9983333333,0.1431738699,0.0230313942,0.0149,0.0266085,Borg
0.0944568339,0.9983333333,0.1377958596,0.0227530252,0.0322,0.0279165,Borg
0.0897828779,0.995,0.1113718349,0.0263846144,0.0318,0.0256985,Borg
0.0959402473,0.9941666667,0.1481131662,0.0272192315,0.0143,0.014472,Borg
0.0890638687,0.9958333333,0.1197235294,0.0303043611,0.0511,0.027867,Borg
0.1003954249,0.9983333333,0.1717369457,0.0199673935,0.0107,0.017458,Borg
0.0978663678,0.9991666667,0.1491042057,0.019218797,0.0193,0.0269595,Borg
0.0950276074,0.9975,0.1353543521,0.0234032914,0.0191,0.027948,Borg
0.0966181246,0.995,0.1328407859,0.0159644314,0.0293,0.031572,Borg
0.0907571211,0.9933333333,0.1192822131,0.0318791426,0.0273,0.023933,Borg
0.1007652744,0.9933333333,0.1807820837,0.0147360056,0.0071,0.018379,Borg
0.0953728218,0.995,0.1391110403,0.0238122812,0.0153,0.0276675,Borg
0.1014415464,0.9991666667,0.1904672771,0.0153587968,0.0079,0.0237915,Borg
0.1013930022,0.9925,0.1487871917,0.023992073,0.011,0.011991,Borg
0.0962295643,0.9925,0.1540903584,0.0187260739,0.0101,0.0238115,Borg
0.0923126534,0.9925,0.1246275722,0.0350458069,0.0118,0.018504,Borg
0.0986627938,0.9975,0.1621734058,0.0157300439,0.0166,0.0234225,Borg
0.0957758142,0.9966666667,0.1394072671,0.0231300392,0.0187,0.0215625,Borg
0.0908748201,0.9966666667,0.113020938,0.027147224,0.0258,0.025348,Borg
0.0917495549,0.9991666667,0.1199333821,0.0339708971,0.0251,0.0189,Borg
0.1039778036,0.9983333333,0.3224699337,1.90E-04,0.0022,0.01186,Borg
0.0939588138,0.9983333333,0.1336057219,0.0437356498,0.0109,0.027297,Borg
0.0908305623,0.9966666667,0.1241371234,0.030759437,0.0202,0.023732,Borg
0.096732759,0.9908333333,0.1431544916,0.0155712546,0.0135,0.0279165,Borg
0.091769574,0.9966666667,0.1278760816,0.0358409323,0.0159,0.018915,Borg
0.0962062328,0.9966666667,0.1476224823,0.0300718418,0.0113,0.015312,Borg
